2021-07-29 12:19:00.995 | INFO     | BL.bot.SwT:<module>:66 - Running in test mode: False
2021-07-29 12:19:00.995 | INFO     | BL.bot.SwT:<module>:67 - Running on selected quote currencies: False
2021-07-29 12:19:00.995 | INFO     | BL.bot.SwT:<module>:68 - Always generate ST long buy signal: False
2021-07-29 12:19:00.996 | INFO     | BL.bot.SwT:<module>:69 - Always generate ST short sell signal: False
2021-07-29 12:20:33.864 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:20:33.865 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:20:44.155 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:20:44.156 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:20:57.463 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:20:57.464 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:21:19.553 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:21:19.553 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:06.501 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:06.502 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:22.324 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:22.325 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:22.332 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:22.333 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:24.180 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:24.181 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:24.187 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:24.188 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:26.896 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:26.897 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:43.088 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:43.089 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:48.048 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:48.049 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:49.041 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:49.042 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:56.254 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:56.255 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:57.066 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:22:57.067 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:23:03.224 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:23:03.225 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:23:50.091 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:23:50.092 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:24:16.107 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:24:16.107 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:24:24.464 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:24:24.465 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 12:24:47.075 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
