2021-08-01 06:10:48.628 | INFO     | BL.bot.SwT:<module>:66 - Running in test mode: False
2021-08-01 06:10:48.628 | INFO     | BL.bot.SwT:<module>:67 - Running on selected quote currencies: False
2021-08-01 06:10:48.629 | INFO     | BL.bot.SwT:<module>:68 - Always generate ST long buy signal: False
2021-08-01 06:10:48.630 | INFO     | BL.bot.SwT:<module>:69 - Always generate ST short sell signal: False
2021-08-01 06:18:27.851 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2135 - symbol: IOTA-BTC conditions short: [True, True, True, True, True, True, True]
2021-08-01 06:18:27.858 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2193 - Symbol: IOTA-BTC, S_TradingEnabled: 1, short_sell_trade_count: 0, long_buy_trade_count: 0, fBuyTradeCount: 0
2021-08-01 06:18:38.034 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2135 - symbol: IOTA-BTC conditions short: [True, True, True, True, True, True, True]
2021-08-01 06:18:38.041 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2193 - Symbol: IOTA-BTC, S_TradingEnabled: 1, short_sell_trade_count: 0, long_buy_trade_count: 0, fBuyTradeCount: 0
2021-08-01 06:18:39.392 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2135 - symbol: IOTA-BTC conditions short: [True, True, True, True, True, True, True]
2021-08-01 06:18:39.399 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2193 - Symbol: IOTA-BTC, S_TradingEnabled: 1, short_sell_trade_count: 0, long_buy_trade_count: 0, fBuyTradeCount: 0
2021-08-01 06:37:07.232 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2135 - symbol: USDC-ETH conditions short: [True, True, True, True, True, True, True]
2021-08-01 06:37:07.239 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2193 - Symbol: USDC-ETH, S_TradingEnabled: 1, short_sell_trade_count: 0, long_buy_trade_count: 0, fBuyTradeCount: 0
2021-08-01 06:37:09.238 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2135 - symbol: USDC-ETH conditions short: [True, True, True, True, True, True, True]
2021-08-01 06:37:09.245 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2193 - Symbol: USDC-ETH, S_TradingEnabled: 1, short_sell_trade_count: 0, long_buy_trade_count: 0, fBuyTradeCount: 0
2021-08-01 06:37:09.929 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3646 - ST signal
